Method,n_nodes,n_multi_syn_nodes,recall_syn1,recall_syn2plus,recall_lift,precision_syn1,precision_syn2plus,precision_lift,spearman_recall
Our_Method_oneway_k1000_clawback0,1043,26,0.7933884297520661,,,0.6255291436014327,0.657243816254417,0.03171467265298422,
SBU_Batch,5674,0,0.20002214471571722,,,0.6227163047225095,,,
SBU_Embedding,2865,0,0.08844639962954387,,,0.13429425206538934,,,
SingleCall,704,0,0.3718657033574161,,,0.7569204152249135,,,
SingleCall_gemini31b,703,1,0.48916277093072674,,,0.7356770833333334,1.0,0.26432291666666663,
SingleCall_gemma4b,702,0,0.5507862303442413,,,0.7184035476718403,,,
SingleCall_matched,704,2,0.5520611984700382,,,0.7014367816091954,0.5543478260869565,-0.14708895552223888,
SingleCall_nomerge,704,0,0.3166170845728857,,,0.7289628180039139,,,
TaxoLLaMA_PPL15.0,1193,0,0.2758425375247805,,,0.3310673011556764,,,
Vector,2153,0,0.14307800421644412,,,0.07289652703186537,,,
