Method,syn_count,n_nodes,gt_incident,gt_recovered,pred_incident,pred_correct,recall,precision,f1
Our_Method_k1000_clawback40,3,1,0,0,94,94,,1.0,
Our_Method_k1000_clawback40,7,1,0,0,5,2,,0.4,
Our_Method_k1000_clawback5,1,1014,6050,5004,6525,3787,0.827107438016529,0.5803831417624521,0.6821206768240062
Our_Method_k1000_clawback5,2,14,0,0,298,203,,0.6812080536912751,
Our_Method_k1000_clawback5,3,4,0,0,195,148,,0.7589743589743589,
Our_Method_k1000_clawback5,4,1,0,0,95,95,,1.0,
Our_Method_k1000_clawback5,5,1,0,0,1,1,,1.0,
Our_Method_k1000_clawback50,1,1014,6050,4802,5864,3602,0.7937190082644628,0.614256480218281,0.6925504716339371
Our_Method_k1000_clawback50,2,14,0,0,287,199,,0.6933797909407665,
Our_Method_k1000_clawback50,3,4,0,0,192,146,,0.7604166666666666,
Our_Method_k1000_clawback50,4,1,0,0,94,94,,1.0,
Our_Method_k1000_clawback50,5,1,0,0,1,1,,1.0,
Our_Method_k1000_clawback6,1,311,2526,2214,2621,1439,0.8764845605700713,0.5490270888973674,0.6751453303563709
Our_Method_k1000_clawback6,2,9,0,0,300,159,,0.53,
Our_Method_k1000_clawback6,3,1,0,0,94,94,,1.0,
Our_Method_k1000_clawback6,7,1,0,0,5,2,,0.4,
Our_Method_k1000_clawback75,1,1014,6050,4720,5675,3532,0.7801652892561983,0.6223788546255506,0.6923965727054113
Our_Method_k1000_clawback75,2,14,0,0,286,199,,0.6958041958041958,
Our_Method_k1000_clawback75,3,4,0,0,192,146,,0.7604166666666666,
Our_Method_k1000_clawback75,4,1,0,0,93,93,,1.0,
Our_Method_k1000_clawback8,1,311,2526,2214,2621,1439,0.8764845605700713,0.5490270888973674,0.6751453303563709
Our_Method_k1000_clawback8,2,9,0,0,300,159,,0.53,
Our_Method_k1000_clawback8,3,1,0,0,94,94,,1.0,
Our_Method_k1000_clawback8,7,1,0,0,5,2,,0.4,
Our_Method_k25_clawback0,1,530,3880,3422,5014,1971,0.8819587628865979,0.3930993218986837,0.5438142713187958
Our_Method_k25_clawback0,2,21,0,0,276,70,,0.2536231884057971,
Our_Method_k25_clawback0,3,5,0,0,171,129,,0.7543859649122807,
Our_Method_k25_clawback0,4,1,0,0,89,47,,0.5280898876404494,
Our_Method_k25_clawback0,7,2,0,0,170,167,,0.9823529411764705,
Our_Method_k=10,1,101,536,512,1490,505,0.9552238805970149,0.3389261744966443,0.5003289600990751
Our_Method_k=10,2,1,0,0,4,1,,0.25,
Our_Method_k=100,1,100,536,448,716,448,0.835820895522388,0.6256983240223464,0.7156549520766773
Our_Method_k=1000,1,4489,30076,24034,60935,17414,0.7991089240590504,0.2857799294330024,0.42100034707113115
Our_Method_k=1000,2,83,0,0,2830,803,,0.28374558303886926,
Our_Method_k=1000,3,10,0,0,805,196,,0.24347826086956523,
Our_Method_k=1000,4,1,0,0,74,1,,0.013513513513513514,
Our_Method_k=1000,5,2,0,0,1254,1234,,0.9840510366826156,
Our_Method_legacy_json_k1000_clawback0,1,994,6050,1690,3220,1663,0.2793388429752066,0.5164596273291926,0.3625722846296995
Our_Method_legacy_json_k1000_clawback0,2,2,0,0,4,3,,0.75,
Our_Method_legacy_vocab_fix_k1000_clawback0,1,311,2176,1734,1438,1101,0.796875,0.7656467315716272,0.7809488046063338
